Trigger name          Param return      Triggers when...
onCheckDone           results           after check() has been executed
onTableRead           table name        the table has been read using the read_table() function
onTableCreate         table name        a table is being created
onInsert              table & data      data has been inserted into a table
onSelect              table&requirem.   the SELECT function has been executed
onUpdate              table & data      the UPDATE function has been executed
onRename              table & data      the RENAME function has been executed
onColumnAdd           table & column    a column has been added
onColumnRemove        table & column    a column has been removed

onTableAccessBegin    table             the lock has been set (also gets triggered when lock is disabled)
onTableAccessEnd      table             the lock has been removed (also gets triggered when lock is disabled)
